,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
119,2022,Sum,892,South Dakota St.,13,64,116.763,105.32,11.4429,115.0,104.0,11.0,59.7,51.5,35.2,21.3,15.3,15.8,24.0,75.8,24.2,76.0
120,2022,B12,891,TCU,9,32,108.261,93.3525,14.909,107.4,92.9,14.5,48.9,47.7,31.2,26.7,21.6,18.4,37.8,73.9,26.1,62.2
121,2022,SEC,890,Tennessee,3,32,111.439,86.1987,25.2399,110.1,86.9,23.2,50.3,46.2,29.6,31.6,18.0,22.9,32.8,72.6,27.4,67.2
122,2022,B12,889,Texas,6,32,111.812,91.4059,20.4063,111.6,90.5,21.1,50.1,46.5,32.3,36.8,18.2,23.3,31.9,70.0,30.0,68.1
123,2022,Slnd,888,Texas A&M Corpus Chris,16,68,96.9771,103.288,-6.3107,96.4,102.9,-6.5,47.3,49.1,38.4,41.6,19.9,22.7,34.7,71.0,29.0,65.3
124,2022,SWAC,887,Texas Southern,16,64,98.1424,99.4749,-1.33245,96.9,98.6,-1.7,48.7,44.9,32.7,34.3,21.4,17.4,33.8,71.8,28.2,66.2
125,2022,B12,886,Texas Tech,3,16,109.701,85.0595,24.641,109.1,85.5,23.6,52.4,45.5,36.1,32.1,20.3,23.6,33.3,73.9,26.1,66.7
126,2022,CUSA,885,UAB,12,64,112.489,98.456,14.0333,111.1,98.1,13.0,52.9,47.9,29.5,31.5,16.3,21.4,33.4,72.6,27.4,66.6
127,2022,P12,884,UCLA,4,16,116.076,91.2287,24.8472,115.1,91.6,23.5,50.6,47.7,29.8,29.2,13.4,19.7,31.9,75.2,24.8,68.1
128,2022,P12,883,USC,7,64,110.473,96.0232,14.4494,109.3,96.0,13.3,51.1,44.7,30.9,26.3,17.7,14.7,33.8,72.8,27.2,66.2
129,2022,AE,882,Vermont,13,64,110.775,97.7084,13.0669,108.6,97.4,11.2,57.3,47.7,26.6,22.6,14.9,17.1,24.0,81.4,18.6,76.0
130,2022,BE,881,Villanova,2,4,117.95,93.8397,24.1107,117.1,93.0,24.1,52.0,47.5,30.5,25.1,15.5,18.8,30.9,72.0,28.0,69.1
